X,Y,PlacementDate,EarliestDeliveryDate,LatestDeliveryDate,IsPrime
1.6,3.2,32,35,39,0
0,2,46,49,53,0
1.9,1,16,19,23,0
2.9,3.9,47,50,54,0
1.5,1.5,48,51,55,0
0.9,1.8,49,52,56,0
3.5,1,24,27,31,0
0.6,3.5,41,44,48,0
1.2,3,10,13,17,0
2.6,0,8,11,15,0
1.8,1.8,29,32,36,0
1.7,1.8,7,10,14,0
0.7,4,50,53,57,0
2.7,3,42,45,49,0
1.9,0.6,22,25,29,0
0.6,1.5,15,18,22,0
0.4,1.1,49,52,56,0
3.9,1.7,49,52,56,0
2.5,3.1,20,23,27,0
1.2,1.6,24,27,31,0
0.6,3.7,42,45,49,0
3.4,1.3,27,30,34,0
0.2,2.2,22,25,29,0
2.3,0.8,45,48,52,0
4,3,30,33,37,0
3.3,3.8,28,31,35,0
0.6,0.3,30,33,37,0
3,0.1,18,21,25,0
0.7,2.9,6,9,13,0
1.7,0,27,30,34,0
2.4,0.8,2,5,9,0
1.3,0.3,5,8,12,0
2.1,0.7,39,42,46,0
2.7,3,45,48,52,0
2.5,3.1,17,20,24,0
2.6,2.4,23,26,30,0
0.4,3,16,19,23,0
3.3,1.9,9,12,16,0
0,2.8,52,55,59,0
4,0.4,27,30,34,0
1.7,3.1,17,20,24,0
3.3,0.3,6,9,13,0
1.9,2.4,23,26,30,0
2.9,1.1,20,23,27,0
0.7,3.6,8,11,15,0
1.6,2.3,39,42,46,0
2.5,2.9,33,36,40,0
3.6,2.4,38,41,45,0
1,2.6,49,52,56,0
1.3,2.5,13,16,20,0
1.7,0.4,37,40,44,0
3.1,3.7,3,6,10,0
0.7,1.8,24,27,31,0
3.4,0.6,3,6,10,0
1,1.5,28,31,35,0
1.7,3.4,22,25,29,0
0.9,2,14,17,21,0
3.3,1.5,11,14,18,0
3.5,2.6,31,34,38,0
2.4,3.9,5,8,12,0
2,1.7,45,48,52,0
0.6,0.7,46,49,53,0
3.7,1.7,11,14,18,0
1,1,42,45,49,0
3.7,2.2,47,50,54,0
1.8,0,52,55,59,0
2.6,0.9,48,51,55,0
2.1,0.1,29,32,36,0
0.1,3.8,25,28,32,0
0.5,2.4,24,27,31,0
3.9,0.3,51,54,58,0
3.5,1,39,42,46,0
3,0.6,35,38,42,0
0.4,1.8,29,32,36,0
2.6,1.4,42,45,49,0
2.4,3.4,5,8,12,0
1.5,1.9,43,46,50,0
2.8,0.2,27,30,34,0
1.5,0.3,28,31,35,0
3.1,1.1,8,11,15,0
0.6,0.9,43,46,50,0
3.9,0.5,32,35,39,0
3.9,3.8,20,23,27,0
1.9,0.1,30,33,37,0
1,2.9,32,35,39,0
2.3,1.4,11,14,18,0
3.8,2.9,21,24,28,0
2.4,1.8,42,45,49,0
1.4,3.4,42,45,49,0
0.1,2.6,20,23,27,0
1.4,3.2,44,47,51,0
3,3,53,56,60,0
1.8,3.1,6,9,13,0
1.3,0.9,30,33,37,0
2.7,1.9,9,12,16,0
1.3,0.3,40,43,47,0
3.6,0.3,49,52,56,0
3.7,2.9,28,31,35,0
4,0.2,39,42,46,0
0.7,0.5,53,56,60,0
2.9,1.9,19,22,26,0
2,1.1,41,44,48,0
1.7,2.9,8,11,15,0
1.1,0.1,28,31,35,0
1.1,2.8,46,49,53,0
4,0.3,38,41,45,0
0.1,3.9,10,13,17,0
3.5,3.5,4,7,11,0
0.8,3.6,3,6,10,0
1.4,0.4,36,39,43,0
0.6,3.5,2,5,9,0
3.1,1.5,51,54,58,0
0.5,3.2,34,37,41,0
1,0.5,35,38,42,0
2.7,1.8,50,53,57,0
2.4,1.7,38,41,45,0
2.6,2,9,12,16,0
3.2,1.7,36,39,43,0
2.8,2.5,1,4,8,0
2.6,3.9,10,13,17,0
3.2,0.6,49,52,56,0
2.1,3.8,15,18,22,0
1.8,0.2,34,37,41,0
0.6,1.3,4,7,11,0
3.8,0.1,51,54,58,0
1.8,2.5,34,37,41,0
0.2,1,35,38,42,0
2.6,0.3,39,42,46,0
0.6,3.1,52,55,59,0
2.3,1.7,39,42,46,0
0.4,1,19,22,26,0
2.3,3.1,44,47,51,0
1.5,1.1,27,30,34,0
0.1,1.9,6,9,13,0
3.5,1.6,30,33,37,0
0.5,3.4,49,52,56,0
3.5,3.6,15,18,22,0
0.6,2.4,3,6,10,0
3.2,3,46,49,53,0
0.2,1.2,31,34,38,0
1.3,1.9,36,39,43,0
3.2,0.1,29,32,36,0
0.6,1.8,9,12,16,0
2.3,2,52,55,59,0
1.6,1.6,22,25,29,0
0.8,2.4,12,15,19,0
2.7,2,26,29,33,0
1.7,2.6,21,24,28,0
1.1,1.8,11,14,18,0
3.7,2.2,50,53,57,0
4,3.7,40,43,47,0
1.5,2.8,41,44,48,0
2.2,3.4,35,38,42,0
0,1.8,35,38,42,0
3.9,3.6,23,26,30,0
1.3,0.3,16,19,23,0
2.2,3.2,5,8,12,0
2.9,1.1,26,29,33,0
2,2.4,42,45,49,0
0.1,2.2,20,23,27,0
3.7,2.4,9,12,16,0
1,3.9,16,19,23,0
2.7,2.2,44,47,51,0
2.3,2.5,11,14,18,0
0.1,2.5,30,33,37,0
3.6,3.8,1,4,8,0
1.3,2.2,48,51,55,0
1.2,1.2,15,18,22,0
3.8,3.2,31,34,38,0
0,3.3,48,51,55,0
2.7,2.9,10,13,17,0
0.9,0,37,40,44,0
2.2,2.9,32,35,39,0
3,1.2,34,37,41,0
1.5,1.3,42,45,49,0
3.7,0.8,3,6,10,0
2.4,2.3,3,6,10,0
0.4,3.5,46,49,53,0
3.6,3.3,47,50,54,0
1.2,3.5,47,50,54,0
1.1,2.4,33,36,40,0
3.4,3.3,32,35,39,0
1.7,1.6,22,25,29,0
2,0.5,47,50,54,0
0.9,2.3,36,39,43,0
2.3,1.9,11,14,18,0
3.4,0.4,40,43,47,0
2.9,0.8,32,35,39,0
3.3,0.5,13,16,20,0
3.1,2,24,27,31,0
2.2,3.1,41,44,48,0
0.3,2.7,19,22,26,0
2.5,0.3,7,10,14,0
3.8,2.5,14,17,21,0
2.2,3.4,42,45,49,0
2.1,1.6,24,27,31,0
3,1.1,23,26,30,0
2.3,4,14,17,21,0
1.3,3.5,30,33,37,0
3.5,2.7,8,11,15,0
1.1,1,48,51,55,0
1.3,1.3,20,23,27,0
1,0,25,28,32,0
2.3,3.8,9,12,16,0
0.2,2.2,16,19,23,0
0.5,0.2,34,37,41,0
2.7,3.5,12,15,19,0
1.4,1.9,30,31,31,1
1.2,3.2,50,51,51,1
1.6,2.7,40,41,41,1
3.9,4,31,32,32,1
1.2,1.3,13,14,14,1
1.4,2.5,47,48,48,1
1.9,0.7,25,26,26,1
1,0.9,54,55,55,1
3.5,1.4,14,15,15,1
3.7,0.2,12,13,13,1
1.2,1.9,16,17,17,1
2.9,3.1,46,47,47,1
4,0.8,44,45,45,1
3.9,0.7,37,38,38,1
0.8,1.9,36,37,37,1
3.4,3.6,9,10,10,1
2,1.4,19,20,20,1
0.4,2.7,15,16,16,1
1.2,2.1,6,7,7,1
2.5,2,52,53,53,1
3.1,3.2,34,35,35,1
1.8,2.2,5,6,6,1
4,2.1,44,45,45,1
0.6,1.9,29,30,30,1
1.5,3,49,50,50,1
3.9,2.5,57,58,58,1
0.6,0.4,40,41,41,1
2.1,1.1,21,22,22,1
0.7,2.3,7,8,8,1
0.7,0.7,59,60,60,1
1.3,0,14,15,15,1
3.9,2,23,24,24,1
1.6,1.9,17,18,18,1
0.1,2.6,43,44,44,1
3.5,0.2,14,15,15,1
0.8,0.1,56,57,57,1
1.7,0.7,43,44,44,1
0.1,3.1,2,3,3,1
1.3,3.8,49,50,50,1
0.7,0.4,22,23,23,1
2.1,1.9,53,54,54,1
3,1.7,35,36,36,1
1.8,3.3,19,20,20,1
2.9,3.5,51,52,52,1
2,3.1,49,50,50,1
0.1,0,57,58,58,1
0.6,1.7,24,25,25,1
1.8,2,26,27,27,1
0,3.3,23,24,24,1
0.8,0.1,24,25,25,1
2.3,2.4,21,22,22,1
4,1.3,53,54,54,1
3.6,3.1,55,56,56,1
1.3,2.1,21,22,22,1
1.6,0.1,38,39,39,1
2.4,0.4,36,37,37,1
3.2,1.2,20,21,21,1
1.1,3.1,30,31,31,1
1.9,3.3,30,31,31,1
2.6,0,28,29,29,1
3.9,2.5,25,26,26,1
3.1,2.4,36,37,37,1
4,2.2,26,27,27,1
0.2,3.7,17,18,18,1
0,1.3,50,51,51,1
3,3.9,21,22,22,1
2.2,3.2,52,53,53,1
3,0.3,5,6,6,1
2,2.4,3,4,4,1
0.3,1,38,39,39,1
2.8,1,19,20,20,1
3.8,0,55,56,56,1
1.9,0.1,5,6,6,1
3.6,0.4,5,6,6,1
3.3,0.4,49,50,50,1
3.3,3.6,9,10,10,1
3.9,1.9,4,5,5,1
1.6,1.1,3,4,4,1
2.7,3.1,27,28,28,1
3,3.4,46,47,47,1
3.5,2.3,24,25,25,1
2.5,2.1,50,51,51,1
4,4,52,53,53,1
3.9,3.7,31,32,32,1
3.3,2.9,11,12,12,1
0.1,2.1,30,31,31,1
1,2.1,4,5,5,1
1.1,3.8,17,18,18,1
1.4,2.4,39,40,40,1
0.3,1.5,43,44,44,1
0.2,0.9,54,55,55,1
1.4,3.7,40,41,41,1
2.6,3.6,40,41,41,1
3.9,3.6,22,23,23,1
1.8,2.9,4,5,5,1
0,3.2,33,34,34,1
2.1,0.2,13,14,14,1
2.1,1.3,56,57,57,1
3.3,2.9,52,53,53,1
3.4,3.3,58,59,59,1
