Day,NumDeliveries,TotalDistance
113,8,17.3436
114,9,19.0347
115,10,19.004
116,11,17.9576
117,12,18.0693
118,11,18.3321
119,8,19.3084
120,8,18.5018
121,8,19.8792
122,11,20.3773
123,6,20.3563
124,12,19.3909
125,8,20.7624
126,9,18.0454
127,8,18.9249
128,12,18.0589
129,7,18.6052
130,10,17.6023
131,8,18.5756
132,8,18.8206
133,6,19.1594
134,15,17.282
135,7,18.5534
136,9,19.5665
137,6,18.2389
138,10,18.7459
139,13,17.3365
140,7,19.5565
141,10,16.9732
142,6,18.1984
143,10,18.4021
144,9,17.84
145,7,18.1962
146,9,18.4047
147,8,19.0904
148,9,18.9841
149,11,17.0256
150,8,16.2598
151,12,17.8868
152,8,17.4089
153,10,18.5128
154,11,17.9202
155,6,18.6176
156,8,17.5879
157,8,18.4351
158,15,17.9017
159,9,18.4594
160,7,18.4618
161,9,18.4623
162,11,20.2503
163,10,19.8312
164,7,20.9772
165,12,18.454
166,7,19.868
167,9,21.2302
168,6,22.2093
169,7,20.5369
170,13,19.1381
171,9,19.2763
172,10,18.2301
173,9,19.295
174,6,20.581
175,6,20.7964
176,9,19.9423
177,9,19.8919
178,9,20.5279
179,9,19.5396
180,10,19.5199
181,10,19.9278
182,6,18.7891
183,9,18.9851
184,7,18.8139
185,12,18.1994
186,5,18.2924
187,12,19.2892
188,7,19.2734
189,9,19.6876
190,10,17.9823
191,11,19.2024
192,9,17.8516
193,8,18.336
194,9,17.7344
195,8,18.0125
196,14,16.2938
197,6,17.9852
198,10,16.2763
199,11,16.403
200,10,18.0064
201,8,18.9071
202,6,18.6131
203,9,17.1983
204,13,16.6671
205,6,17.0716
206,5,17.5307
207,11,16.7743
208,7,18.0763
209,15,16.5895
210,15,16.7588
211,6,18.6069
212,8,18.4658
213,8,20.5879
214,10,18.0492
215,9,19.6381
216,7,19.1384
217,9,19.1339
218,9,18.8558
219,7,19.1393
220,10,19.0596
221,7,19.2217
222,10,19.7467
223,9,20.0814
224,9,19.0849
225,11,19.2178
226,8,20.318
227,7,21.4695
228,13,19.0167
229,9,18.4651
230,8,18.1928
231,8,19.6597
232,9,19.6975
233,10,18.1571
234,9,19.3762
235,10,18.7111
236,7,18.2098
237,7,19.5444
238,9,19.1509
239,9,18.4813
240,10,18.3063
241,12,18.0835
242,5,20.377
243,10,18.0968
244,9,18.139
245,10,18.3962
246,10,18.4341
247,6,18.8175
248,11,17.6909
249,12,18.0569
250,11,17.4397
251,8,20.2586
252,7,17.3234
253,9,17.4738
254,11,19.0387
255,7,18.9269
256,7,19.6307
257,7,19.2718
258,12,18.2013
259,7,19.1718
260,9,19.337
261,8,19.2436
262,10,19.0881
263,7,19.1036
264,8,20.0025
265,8,19.6889
266,11,20.107
267,9,18.677
268,12,19.3086
269,8,18.4281
270,10,19.1932
271,10,19.3203
272,9,19.5566
273,7,19.653
274,9,19.6375
275,7,20.4483
276,8,18.3749
277,12,18.1672
278,10,19.1476
279,7,18.8123
280,6,19.1104
281,13,17.0249
282,9,19.2097
283,8,18.9124
284,9,17.8889
285,9,19.2499
286,5,19.5575
287,11,17.7074
288,7,18.8193
289,8,17.4913
290,10,19.2089
291,13,17.8002
292,8,18.1512
293,9,18.0244
294,8,17.9622
295,11,17.2565
296,11,19.373
297,9,17.844
298,10,17.9124
299,9,18.6506
300,5,20.0414
301,12,18.4014
302,7,17.8545
303,6,19.5209
304,10,17.329
305,10,19.4063
306,9,18.2012
307,10,19.3747
308,7,18.4366
309,11,17.5994
310,6,17.7633
311,8,17.2185
312,11,17.3885
313,12,18.0688
314,9,18.638
315,9,18.2145
316,9,18.2542
317,10,18.3412
318,8,19.3907
319,8,18.6103
320,13,19.1999
321,8,19.3234
322,8,19.7306
323,8,19.5277
324,11,19.8771
325,6,21.5831
326,11,20.1745
327,10,20.1402
328,9,19.831
329,9,21.0378
330,12,21.4519
331,10,22.6137
332,12,26.8633
333,12,28.9711
334,24,35.8263
335,14,38.3302
336,22,37.4061
337,19,38.4593
338,19,38.6325
339,20,38.6404
340,17,37.3716
341,23,39.1771
342,27,37.1657
343,19,36.8311
344,23,37.4501
345,24,36.7067
346,21,37.9905
347,17,38.2738
348,19,36.3299
349,25,37.0563
350,23,36.5254
351,24,35.7642
352,18,36.5158
353,23,34.5279
354,20,35.0027
355,25,36.096
356,23,33.5422
357,23,34.5614
358,27,32.9017
359,19,33.7967
360,21,33.6919
361,20,32.5927
362,21,30.6808
363,17,30.9456
364,19,30.1918
365,21,30.2613
366,15,29.6057
367,16,27.6309
Total,3680,7378.23
